,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,U.S. FTC expected to file amended complaint against Facebook - Reuters,"The U.S. Federal Trade Commission is expected to file on Thursday its amended complaint against Facebook <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a>, accusing it of breaking antitrust law.",https://www.reuters.com/legal/litigation/us-ftc-expected-file-amended-complaint-against-facebook-2021-08-19/,https://www.reuters.com/resizer/mbkNY7myxKJHSMTeNSRixYg6MR0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DIA364J4PBIQRBBDYS7ZEL47AU.jpg,2021-08-19T14:23:00Z,"The company and law firm names shown above are generated automatically based on the text of the article. We are improving this feature as we continue to test and develop in beta. We welcome feedback,… [+1762 chars]",reuters,Reuters
1,Reuters,Facebook calls U.S. FTC's refiled antitrust case 'meritless' - Reuters,"Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> said the U.S. Federal Trade Commission's refiled antitrust case against the company was ""meritless"" in a statement on Thursday, saying the FTC's claims were an effort to …",https://www.reuters.com/technology/facebook-calls-us-ftcs-refiled-antitrust-case-meritless-2021-08-19/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-19T18:13:00Z,"Aug 19 (Reuters) - Facebook Inc (FB.O) said the U.S. Federal Trade Commission's refiled antitrust case against the company was ""meritless"" in a statement on Thursday, saying the FTC's claims were an … [+397 chars]",reuters,Reuters
2,Reuters,Facebook says it is securing Afghan user accounts amid Taliban takeover - Reuters,"Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> has temporarily removed the ability for people to view or search the friends lists of accounts it has determined to be in Afghanistan, the company's head of security poli…",https://www.reuters.com/technology/facebook-says-it-is-securing-afghan-user-accounts-amid-taliban-takeover-2021-08-19/,https://www.reuters.com/resizer/61rdcix8lMjboA2T5vIJiEnwVXI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GEC5KKORYJN6TB5RBOW7OAED5Q.jpg,2021-08-19T22:01:00Z,"The Facebook logo is displayed on a mobile phone in this picture illustration taken December 2, 2019. REUTERS/Johanna Geron/IllustrationAug 19 (Reuters) - Facebook Inc (FB.O) has temporarily removed … [+639 chars]",reuters,Reuters
3,Elizabeth Culliford,EXCLUSIVE Facebook selects local journalists paid in $5 million newsletter recruitment push - Reuters,"Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> has chosen 25 local independent journalists to be paid out of a $5 million pot to write for its newsletter site Bulletin through multiyear deals, the company told Reuters…",https://www.reuters.com/technology/exclusive-facebook-selects-local-journalists-paid-5-million-newsletter-2021-08-19/,https://www.reuters.com/resizer/d0h2VGieUoa8rWcphU5zvwQoS_s=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/L2JN4NFPXBJGPJNAA2A7ECHILE.jpg,2021-08-19T14:02:00Z,"A 3D-printed Facebook logo is seen placed on a keyboard in this illustration taken March 25, 2020. REUTERS/Dado Ruvic/Illustration Aug 19 (Reuters) - Facebook Inc (FB.O) has chosen 25 local independe… [+2667 chars]",reuters,Reuters
4,Elizabeth Culliford,"Facebook launches VR remote work app, calling it a step to the 'metaverse' - Reuters","Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> on Thursday launched a test of a new virtual-reality remote work app where users of the company's Oculus Quest 2 headsets can hold meetings as avatar versions of themselv…",https://www.reuters.com/technology/facebook-launches-vr-remote-work-app-calling-it-step-metaverse-2021-08-19/,https://www.reuters.com/resizer/hDg8fsx8eFWyn8fsy-c8kntRNPM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ARAPXGKCTVPQHGX63Z73HXGJQI.jpg,2021-08-19T11:15:00Z,Aug 19 (Reuters) - Facebook Inc (FB.O) on Thursday launched a test of a new virtual-reality remote work app where users of the company's Oculus Quest 2 headsets can hold meetings as avatar versions o… [+3342 chars],reuters,Reuters
5,Reuters Editorial,Young Palestinians vlog about historical sites - Reuters,"Holding their smartphones and slowly walking through the historical village of Deir Ghassaneh, two Palestinian brothers aged nine and 13, Ahmed and Ali, are busy producing yet another video for their Facebook page 'This is Palestine'.",https://www.reuters.com/video/watch/idOVEQYBWX3,https://static.reuters.com/resources/r/?d=20210819&i=OVEQYBWX3&r=OVEQYBWX3&t=2,2021-08-19T22:27:37Z,"Posted 
Holding their smartphones and slowly walking through the historical village of Deir Ghassaneh, two Palestinian brothers aged nine and 13, Ahmed and Ali, are busy producing yet another video … [+43 chars]",reuters,Reuters
6,Reuters,Payments processor Adyen's profit boosted by US volumes - Reuters,"Adyen NV <a href=""https://www.reuters.com/companies/ADYEN.AS"" target=""_blank"">(ADYEN.AS)</a>, the Dutch company that helps to process payments for Netflix, Facebook and Uber, on Thursday beat market expectations with a 65% jump in first-half core profit, citi…",https://www.reuters.com/business/adyen-core-profit-beats-forecasts-with-65-jump-us-volumes-rise-2021-08-19/,https://www.reuters.com/resizer/fmk1UtoAFQeH24KNm3Rd0PHOtNE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/7OXOBCRK2BPVLOFMHSI6F2N4Y4.jpg,2021-08-19T07:37:00Z,"The Adyen logo is seen at the reception desk of the company's headquarters in Amsterdam, Netherlands August 24, 2018. REUTERS/Eva Plevier/File PhotoAMSTERDAM, Aug 19 (Reuters) - Adyen NV (ADYEN.AS), … [+1742 chars]",reuters,Reuters
7,Reuters,"Bolsonaro blocks critics on social media, says rights group - Reuters","Brazil's far-right president, Jair Bolsonaro, is blocking social media followers who criticize him, violating their rights of freedom of speech and access to information, Human Rights Watch said on Thursday.",https://www.reuters.com/world/americas/bolsonaro-blocks-critics-social-media-says-rights-group-2021-08-19/,https://www.reuters.com/resizer/NR9vU9BTThXmEBrSxwSDTiOum8A=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LQAFTKPU4VI25PAZFIQMEPA4HI.jpg,2021-08-19T03:01:00Z,"Brazil President Jair Bolsonaro looks on as he adjusts his protective face mask during a ceremony launching a program to expand access to credit at the Planalto Palace in Brasilia, Brazil, August 19,… [+2250 chars]",reuters,Reuters
8,Alison Frankel,Why ASU can't block 'odious' anti-mask Instagrammer who touted 'Hoax-19' parties - Reuters,"Sometimes, even vulgar, anonymous bullies who claim COVID is a hoax and casually compare mask mandates to Nazism deserve to win.",https://www.reuters.com/legal/government/why-asu-cant-block-odious-anti-mask-instagrammer-who-touted-hoax-19-parties-2021-08-19/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-19T20:43:00Z,"<ul><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving this feature as we… [+6221 chars]",reuters,Reuters
9,Sagarika Jaisinghani,"Futures slide on taper, growth fears; oil slump hits energy stocks - Reuters","U.S. stock index futures fell on Thursday on concerns the Federal Reserve could begin to rein in its massive monetary stimulus, while energy stocks tracked a slide in oil prices to their lowest in about three months.",https://www.reuters.com/business/futures-slide-taper-growth-fears-oil-slump-hits-energy-stocks-2021-08-19/,https://www.reuters.com/resizer/ZlvFBjTcB6gcCX56rB7SZj3MkLU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/67UTTAAFSNKDPHGXYDYXZZQ5R4.jpg,2021-08-19T10:30:00Z,"A trader works on the trading floor at the New York Stock Exchange (NYSE) in Manhattan, New York City, U.S., August 5, 2021. REUTERS/Andrew KellyAug 19 (Reuters) - U.S. stock index futures fell on Th… [+2341 chars]",reuters,Reuters
10,Reuters,"Afghanistan on edge after anti-Taliban protest in east, Kabul calm as airlift goes on - Reuters","As the United States and other Western powers pressed on with the evacuation of their nationals and some Afghans on Thursday, the rest of Afghanistan waited to see whether the nation's independence day would stir more anti-Taliban protests.",https://www.reuters.com/world/asia-pacific/afghanistan-edge-after-anti-taliban-protest-east-kabul-calm-airlift-goes-2021-08-19/,https://www.reuters.com/resizer/Cw65WHugTiYookWEHry7McDbkQ4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Q34L2GDPBNMADFKDP42Q5IJEBY.jpg,2021-08-19T06:02:00Z,"KABUL, Aug 19 (Reuters) - As the United States and other Western powers pressed on with the evacuation of their nationals and some Afghans on Thursday, the rest of Afghanistan waited to see whether t… [+4599 chars]",reuters,Reuters
11,Reuters,Actions or words? Afghan journalists question Taliban's free press pledge - Reuters,"Beaten, homes raided, turned away from work for being a woman: the complaints made by some Afghan journalists in recent days are sowing doubt about assurances made by their new Taliban rulers that independent media would be allowed.",https://www.reuters.com/world/asia-pacific/actions-or-words-afghan-journalists-question-talibans-free-press-pledge-2021-08-19/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-19T17:47:00Z,"Aug 19 (Reuters) - Beaten, homes raided, turned away from work for being a woman: the complaints made by some Afghan journalists in recent days are sowing doubt about assurances made by their new Tal… [+4041 chars]",reuters,Reuters
12,Reuters Staff,美国FTC称Facebook“压制或收购”竞争对手，再度对其提起反垄断诉讼 - 路透,美国联邦贸易委员会(FTC)周四更新了针对社交媒体巨头Facebook Inc的反垄断案，增加了更多关于该公司压制或收购竞争对手的指控细节，并再次要求法官迫使该公司出售Instagram和WhatsApp。,https://cn.reuters.com/article/%E7%BE%8E%E5%9B%BDFTC%E7%A7%B0Facebook%E2%80%9C%E5%8E%8B%E5%88%B6%E6%88%96%E6%94%B6%E8%B4%AD%E2%80%9D%E7%AB%9E%E4%BA%89%E5%AF%B9%E6%89%8B%EF%BC%8C%E5%86%8D%E5%BA%A6%E5%AF%B9%E5%85%B6%E6%8F%90%E8%B5%B7%E5%8F%8D%E5%9E%84%E6%96%AD%E8%AF%89%E8%AE%BC-idCNL4S2PQ46D,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-19T23:01:00Z,"819 - (FTC)Facebook IncInstagramWhatsApp
80FTCFacebook2012Facebook65%
FTC32FacebookLina KhanKhan
Facebook201210Instagram2014190WhatsApp
FTCFacebook
Facebook
FTCInstagramWhatsApp
****
FTCFaceb… [+135 chars]",reuters,Reuters
